LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:23:11,0                 
Time,Ampl
4.5693559E-07,-0.010438
4.5698559E-07,-0.010437
4.5703559E-07,-0.010435
4.5708559E-07,-0.010434
4.5713559E-07,-0.010433
4.5718559E-07,-0.010431
4.5723559E-07,-0.010428
4.5728559E-07,-0.010425
4.5733559E-07,-0.010421
4.5738559E-07,-0.010417
4.5743559E-07,-0.010412
4.5748559E-07,-0.010406
4.5753559E-07,-0.010400
4.5758559E-07,-0.010394
4.5763559E-07,-0.010388
4.5768559E-07,-0.010382
4.5773559E-07,-0.010377
4.5778559E-07,-0.010373
4.5783559E-07,-0.010371
4.5788559E-07,-0.010370
4.5793559E-07,-0.010370
4.5798559E-07,-0.010372
4.5803559E-07,-0.010376
4.5808559E-07,-0.010382
4.5813559E-07,-0.010390
4.5818559E-07,-0.010398
4.5823559E-07,-0.010408
4.5828559E-07,-0.010419
4.5833559E-07,-0.010431
4.5838559E-07,-0.010442
4.5843559E-07,-0.010453
4.5848559E-07,-0.010463
4.5853559E-07,-0.010473
4.5858559E-07,-0.010480
4.5863559E-07,-0.010486
4.5868559E-07,-0.010490
4.5873559E-07,-0.010492
4.5878559E-07,-0.010492
4.5883559E-07,-0.010489
4.5888559E-07,-0.010484
4.5893559E-07,-0.010478
4.5898559E-07,-0.010469
4.5903559E-07,-0.010460
4.5908559E-07,-0.010449
4.5913559E-07,-0.010438
4.5918559E-07,-0.010427
4.5923559E-07,-0.010416
4.5928559E-07,-0.010405
4.5933559E-07,-0.010396
4.5938559E-07,-0.010388
4.5943559E-07,-0.010381
4.5948559E-07,-0.010376
4.5953559E-07,-0.010372
4.5958559E-07,-0.010370
4.5963559E-07,-0.010370
4.5968559E-07,-0.010371
4.5973559E-07,-0.010374
4.5978559E-07,-0.010377
4.5983559E-07,-0.010382
4.5988559E-07,-0.010387
4.5993559E-07,-0.010392
4.5998559E-07,-0.010397
4.6003559E-07,-0.010402
4.6008559E-07,-0.010407
4.6013559E-07,-0.010410
4.6018559E-07,-0.010413
4.6023559E-07,-0.010415
4.6028559E-07,-0.010416
4.6033559E-07,-0.010416
4.6038559E-07,-0.010415
4.6043559E-07,-0.010414
4.6048559E-07,-0.010412
4.6053559E-07,-0.010409
4.6058559E-07,-0.010407
4.6063559E-07,-0.010404
4.6068559E-07,-0.010401
4.6073559E-07,-0.010399
4.6078559E-07,-0.010397
4.6083559E-07,-0.010395
4.6088559E-07,-0.010394
4.6093559E-07,-0.010393
4.6098559E-07,-0.010393
4.6103559E-07,-0.010393
4.6108559E-07,-0.010393
4.6113559E-07,-0.010393
4.6118559E-07,-0.010393
4.6123559E-07,-0.010393
4.6128559E-07,-0.010393
4.6133559E-07,-0.010392
4.6138559E-07,-0.010391
4.6143559E-07,-0.010389
4.6148559E-07,-0.010387
4.6153559E-07,-0.010384
4.6158559E-07,-0.010380
4.6163559E-07,-0.010377
4.6168559E-07,-0.010372
4.6173559E-07,-0.010368
4.6178559E-07,-0.010364
4.6183559E-07,-0.010360
4.6188559E-07,-0.010356
4.6193559E-07,-0.010353
4.6198559E-07,-0.010350
4.6203559E-07,-0.010349
4.6208559E-07,-0.010348
4.6213559E-07,-0.010347
4.6218559E-07,-0.010348
4.6223559E-07,-0.010349
4.6228559E-07,-0.010351
4.6233559E-07,-0.010354
4.6238559E-07,-0.010356
4.6243559E-07,-0.010359
4.6248559E-07,-0.010362
4.6253559E-07,-0.010364
4.6258559E-07,-0.010366
4.6263559E-07,-0.010367
4.6268559E-07,-0.010367
4.6273559E-07,-0.010366
4.6278559E-07,-0.010364
4.6283559E-07,-0.010361
4.6288559E-07,-0.010358
4.6293559E-07,-0.010353
4.6298559E-07,-0.010348
4.6303559E-07,-0.010342
4.6308559E-07,-0.010335
4.6313559E-07,-0.010329
4.6318559E-07,-0.010322
4.6323559E-07,-0.010316
4.6328559E-07,-0.010311
4.6333559E-07,-0.010305
4.6338559E-07,-0.010301
4.6343559E-07,-0.010297
4.6348559E-07,-0.010294
4.6353559E-07,-0.010292
4.6358559E-07,-0.010290
4.6363559E-07,-0.010288
4.6368559E-07,-0.010287
4.6373559E-07,-0.010286
4.6378559E-07,-0.010285
4.6383559E-07,-0.010284
4.6388559E-07,-0.010282
4.6393559E-07,-0.010280
4.6398559E-07,-0.010277
4.6403559E-07,-0.010273
4.6408559E-07,-0.010269
4.6413559E-07,-0.010264
4.6418559E-07,-0.010259
4.6423559E-07,-0.010254
4.6428559E-07,-0.010248
4.6433559E-07,-0.010243
