LECROYWaveRunner‘N,20113,Waveform
Segments,1,SegmentSize,4002
Segment,TrigTime,TimeSinceSegment1
#1,12-Dec-2018 11:28:46,0                 
Time,Ampl
4.5693668E-07,-0.010670
4.5698668E-07,-0.010666
4.5703668E-07,-0.010661
4.5708668E-07,-0.010655
4.5713668E-07,-0.010648
4.5718668E-07,-0.010640
4.5723668E-07,-0.010632
4.5728668E-07,-0.010623
4.5733668E-07,-0.010615
4.5738668E-07,-0.010607
4.5743668E-07,-0.010599
4.5748668E-07,-0.010592
4.5753668E-07,-0.010586
4.5758668E-07,-0.010580
4.5763668E-07,-0.010575
4.5768668E-07,-0.010571
4.5773668E-07,-0.010566
4.5778668E-07,-0.010562
4.5783668E-07,-0.010558
4.5788668E-07,-0.010554
4.5793668E-07,-0.010549
4.5798668E-07,-0.010544
4.5803668E-07,-0.010538
4.5808668E-07,-0.010532
4.5813668E-07,-0.010526
4.5818668E-07,-0.010519
4.5823668E-07,-0.010512
4.5828668E-07,-0.010504
4.5833668E-07,-0.010497
4.5838668E-07,-0.010490
4.5843668E-07,-0.010484
4.5848668E-07,-0.010478
4.5853668E-07,-0.010473
4.5858668E-07,-0.010469
4.5863668E-07,-0.010466
4.5868668E-07,-0.010464
4.5873668E-07,-0.010464
4.5878668E-07,-0.010464
4.5883668E-07,-0.010466
4.5888668E-07,-0.010469
4.5893668E-07,-0.010472
4.5898668E-07,-0.010476
4.5903668E-07,-0.010481
4.5908668E-07,-0.010485
4.5913668E-07,-0.010489
4.5918668E-07,-0.010494
4.5923668E-07,-0.010497
4.5928668E-07,-0.010500
4.5933668E-07,-0.010503
4.5938668E-07,-0.010505
4.5943668E-07,-0.010506
4.5948668E-07,-0.010506
4.5953668E-07,-0.010506
4.5958668E-07,-0.010506
4.5963668E-07,-0.010505
4.5968668E-07,-0.010504
4.5973668E-07,-0.010504
4.5978668E-07,-0.010504
4.5983668E-07,-0.010504
4.5988668E-07,-0.010505
4.5993668E-07,-0.010507
4.5998668E-07,-0.010509
4.6003668E-07,-0.010513
4.6008668E-07,-0.010517
4.6013668E-07,-0.010522
4.6018668E-07,-0.010528
4.6023668E-07,-0.010535
4.6028668E-07,-0.010542
4.6033668E-07,-0.010550
4.6038668E-07,-0.010557
4.6043668E-07,-0.010565
4.6048668E-07,-0.010572
4.6053668E-07,-0.010579
4.6058668E-07,-0.010585
4.6063668E-07,-0.010591
4.6068668E-07,-0.010595
4.6073668E-07,-0.010599
4.6078668E-07,-0.010602
4.6083668E-07,-0.010604
4.6088668E-07,-0.010605
4.6093668E-07,-0.010606
4.6098668E-07,-0.010605
4.6103668E-07,-0.010604
4.6108668E-07,-0.010603
4.6113668E-07,-0.010601
4.6118668E-07,-0.010600
4.6123668E-07,-0.010598
4.6128668E-07,-0.010596
4.6133668E-07,-0.010595
4.6138668E-07,-0.010595
4.6143668E-07,-0.010595
4.6148668E-07,-0.010595
4.6153668E-07,-0.010597
4.6158668E-07,-0.010599
4.6163668E-07,-0.010602
4.6168668E-07,-0.010605
4.6173668E-07,-0.010609
4.6178668E-07,-0.010613
4.6183668E-07,-0.010617
4.6188668E-07,-0.010621
4.6193668E-07,-0.010625
4.6198668E-07,-0.010628
4.6203668E-07,-0.010631
4.6208668E-07,-0.010632
4.6213668E-07,-0.010633
4.6218668E-07,-0.010632
4.6223668E-07,-0.010630
4.6228668E-07,-0.010627
4.6233668E-07,-0.010622
4.6238668E-07,-0.010616
4.6243668E-07,-0.010609
4.6248668E-07,-0.010601
4.6253668E-07,-0.010593
4.6258668E-07,-0.010584
4.6263668E-07,-0.010575
4.6268668E-07,-0.010566
4.6273668E-07,-0.010557
4.6278668E-07,-0.010549
4.6283668E-07,-0.010542
4.6288668E-07,-0.010536
4.6293668E-07,-0.010532
4.6298668E-07,-0.010528
4.6303668E-07,-0.010526
4.6308668E-07,-0.010525
4.6313668E-07,-0.010525
4.6318668E-07,-0.010526
4.6323668E-07,-0.010529
4.6328668E-07,-0.010532
4.6333668E-07,-0.010535
4.6338668E-07,-0.010539
4.6343668E-07,-0.010544
4.6348668E-07,-0.010548
4.6353668E-07,-0.010552
4.6358668E-07,-0.010556
4.6363668E-07,-0.010559
4.6368668E-07,-0.010563
4.6373668E-07,-0.010565
4.6378668E-07,-0.010568
4.6383668E-07,-0.010570
4.6388668E-07,-0.010572
4.6393668E-07,-0.010574
4.6398668E-07,-0.010576
4.6403668E-07,-0.010579
4.6408668E-07,-0.010581
4.6413668E-07,-0.010584
4.6418668E-07,-0.010587
4.6423668E-07,-0.010591
4.6428668E-07,-0.010594
4.6433668E-07,-0.010599
4.6438668E-07,-0.010603
4.6443668E-07,-0.010608
4.6448668E-07,-0.010612
4.6453668E-07,-0.010617
4.6458668E-07,-0.010621
4.6463668E-07,-0.010625
4.6468668E-07,-0.010629
4.6473668E-07,-0.010632
4.6478668E-07,-0.010634
4.6483668E-07,-0.010636
4.6488668E-07,-0.010637
4.6493668E-07,-0.010638
4.6498668E-07,-0.010639
4.6503668E-07,-0.010639
4.6508668E-07,-0.010639
4.6513668E-07,-0.010640
4.6518668E-07,-0.010640
4.6523668E-07,-0.010641
4.6528668E-07,-0.010643
4.6533668E-07,-0.010645
4.6538668E-07,-0.010648
4.6543668E-07,-0.010651
4.6548668E-07,-0.010655
4.6553668E-07,-0.010660
4.6558668E-07,-0.010665
4.6563668E-07,-0.010669
4.6568668E-07,-0.010674
4.6573668E-07,-0.010678
4.6578668E-07,-0.010682
4.6583668E-07,-0.010685
4.6588668E-07,-0.010686
4.6593668E-07,-0.010687
4.6598668E-07,-0.010686
4.6603668E-07,-0.010684
4.6608668E-07,-0.010680
4.6613668E-07,-0.010674
4.6618668E-07,-0.010668
4.6623668E-07,-0.010660
4.6628668E-07,-0.010651
4.6633668E-07,-0.010642
4.6638668E-07,-0.010632
4.6643668E-07,-0.010622
4.6648668E-07,-0.010612
4.6653668E-07,-0.010602
4.6658668E-07,-0.010594
4.6663668E-07,-0.010586
4.6668668E-07,-0.010579
4.6673668E-07,-0.010573
4.6678668E-07,-0.010568
4.6683668E-07,-0.010565
4.6688668E-07,-0.010562
4.6693668E-07,-0.010561
4.6698668E-07,-0.010560
4.6703668E-07,-0.010559
4.6708668E-07,-0.010559
4.6713668E-07,-0.010559
4.6718668E-07,-0.010558
4.6723668E-07,-0.010557
4.6728668E-07,-0.010555
4.6733668E-07,-0.010553
4.6738668E-07,-0.010549
4.6743668E-07,-0.010545
4.6748668E-07,-0.010539
4.6753668E-07,-0.010533
4.6758668E-07,-0.010526
4.6763668E-07,-0.010517
4.6768668E-07,-0.010508
4.6773668E-07,-0.010499
4.6778668E-07,-0.010490
4.6783668E-07,-0.010480
4.6788668E-07,-0.010471
4.6793668E-07,-0.010462
4.6798668E-07,-0.010454
4.6803668E-07,-0.010446
4.6808668E-07,-0.010440
4.6813668E-07,-0.010434
4.6818668E-07,-0.010430
4.6823668E-07,-0.010426
4.6828668E-07,-0.010424
4.6833668E-07,-0.010423
4.6838668E-07,-0.010423
4.6843668E-07,-0.010424
4.6848668E-07,-0.010426
4.6853668E-07,-0.010429
4.6858668E-07,-0.010432
4.6863668E-07,-0.010435
4.6868668E-07,-0.010439
4.6873668E-07,-0.010443
4.6878668E-07,-0.010447
4.6883668E-07,-0.010451
4.6888668E-07,-0.010456
4.6893668E-07,-0.010460
4.6898668E-07,-0.010463
4.6903668E-07,-0.010467
4.6908668E-07,-0.010471
4.6913668E-07,-0.010475
4.6918668E-07,-0.010479
4.6923668E-07,-0.010483
4.6928668E-07,-0.010487
4.6933668E-07,-0.010492
4.6938668E-07,-0.010497
4.6943668E-07,-0.010502
4.6948668E-07,-0.010508
4.6953668E-07,-0.010514
4.6958668E-07,-0.010520
4.6963668E-07,-0.010527
4.6968668E-07,-0.010534
4.6973668E-07,-0.010540
4.6978668E-07,-0.010546
4.6983668E-07,-0.010552
4.6988668E-07,-0.010556
4.6993668E-07,-0.010560
4.6998668E-07,-0.010563
4.7003668E-07,-0.010564
4.7008668E-07,-0.010564
4.7013668E-07,-0.010562
4.7018668E-07,-0.010558
4.7023668E-07,-0.010553
4.7028668E-07,-0.010546
4.7033668E-07,-0.010538
4.7038668E-07,-0.010529
4.7043668E-07,-0.010518
4.7048668E-07,-0.010507
4.7053668E-07,-0.010495
4.7058668E-07,-0.010483
4.7063668E-07,-0.010471
4.7068668E-07,-0.010459
4.7073668E-07,-0.010448
4.7078668E-07,-0.010438
4.7083668E-07,-0.010429
4.7088668E-07,-0.010422
4.7093668E-07,-0.010416
4.7098668E-07,-0.010411
4.7103668E-07,-0.010407
4.7108668E-07,-0.010404
4.7113668E-07,-0.010403
4.7118668E-07,-0.010402
4.7123668E-07,-0.010402
4.7128668E-07,-0.010402
4.7133668E-07,-0.010402
4.7138668E-07,-0.010403
4.7143668E-07,-0.010404
4.7148668E-07,-0.010404
4.7153668E-07,-0.010404
4.7158668E-07,-0.010404
4.7163668E-07,-0.010404
4.7168668E-07,-0.010404
4.7173668E-07,-0.010404
4.7178668E-07,-0.010404
4.7183668E-07,-0.010405
4.7188668E-07,-0.010407
4.7193668E-07,-0.010409
4.7198668E-07,-0.010412
4.7203668E-07,-0.010417
4.7208668E-07,-0.010422
4.7213668E-07,-0.010429
4.7218668E-07,-0.010437
4.7223668E-07,-0.010445
4.7228668E-07,-0.010455
4.7233668E-07,-0.010465
4.7238668E-07,-0.010474
4.7243668E-07,-0.010484
4.7248668E-07,-0.010493
4.7253668E-07,-0.010501
4.7258668E-07,-0.010507
4.7263668E-07,-0.010512
4.7268668E-07,-0.010515
4.7273668E-07,-0.010516
4.7278668E-07,-0.010514
